acronym;title;ranksys;rank;field
IADIS AC;IADIS International Conference Applied Computing;CORE2020;C;Applied computing
IAS;International Symposium on Information Assurance and Security;CORE2020;C;Cybersecurity and privacy
IC3K;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;CORE2020;C;Data management and data science
ICAART;International Conference on Agents and Artificial Intelligence;CORE2020;C;Artificial intelligence
ICAIL;International Conference on Artificial Intelligence and Law;CORE2020;C;Artificial intelligence
ICCAM;International Congress on Computational and Applied Mathematics;CORE2020;C;Theory of computation
ICCCI;International Conference on Computational Collective Intelligence;CORE2020;C;Artificial intelligence
ICCHP;International Conference on Computers Helping People with Special Needs;CORE2020;C;Applied computing
ICCI;IEEE International Conference on Cognitive Informatics;CORE2020;C;Artificial intelligence
ICCSA;International Conference on Communication Systems and Applications;CORE2020;C;Distributed computing and systems software
ICCSA;International Conference on Computational Science and its Applications;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
ICDS;International Conference on Digital Society;CORE2020;C;Applied computing
ICEC;International Conference on Electronic Commerce;CORE2020;C;Applied computing
ICEC;International Conference on Entertainment Computing;CORE2020;C;Graphics, augmented reality and games
ICFCA;International Conference Formal Concept Analysis Conference;CORE2020;C;Theory of computation
ICGSE;IEEE International Conference on Global Software Engineering;CORE2020;C;Software engineering
ICIAR;International Conference on Image Analysis and Recognition;CORE2020;C;Computer vision and multimedia computation
ICICSE;International Conference on Internet Computing in Science and Engineering;CORE2020;C;Distributed computing and systems software
ICIDS;International Conference on Interactive Digital Storytelling;CORE2020;C;Graphics, augmented reality and games
ICIMP;International Conference on Internet Monitoring and Protection;CORE2020;C;Cybersecurity and privacy
ICIS;IEEE/ACIS International Conference on Computer and Information Science;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
ICISP;International Conference on Image and Signal Processing;CORE2020;C;Computer vision and multimedia computation
ICIW;International Conference on Internet and Web Applications and Services;CORE2020;C;Distributed computing and systems software
ICMLA;International Conference on Machine Learning and Applications;CORE2020;C;Machine learning
ICMV;International Conference on Machine Vision;CORE2020;C;Computer vision and multimedia computation
ICOCI;International Conference on Computing and Informatics;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
ICOST;International Conference on Smart homes and health Telematics;CORE2020;C;Applied computing
ICOTA;International Conference on Optimization: Techniques And Applications;CORE2020;C;Artificial intelligence
ICPC;IEEE International Conference on Program Comprehension;CORE2020;C;Software engineering
ICSEA;International Conference on Software Engineering Advances;CORE2020;C;Software engineering
ICSEng;International Conference on Systems Engineering;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
ICTD;International Conference on Information and Communication Technologies and Development;CORE2020;C;Applied computing
ICVS;International Conference on Computer Vision Systems;CORE2020;C;Computer vision and multimedia computation
IDEAL;International Conference on Intelligent Data Engineering and Automated Learning;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
IE;The International Conference on Intelligent Environments;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
IEEE ADPRL;IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning;CORE2020;C;Machine learning
IEEE CICA;IEEE Symposium on Computational Intelligence in Control and Automation;CORE2020;C;Artificial intelligence
IEEE CICS;IEEE Symposium on Computational Intelligence in Cyber Security;CORE2020;C;Cybersecurity and privacy
IEEE CIFEr;IEEE Symposium on Computational Intelligence for Financial Engineering;CORE2020;C;Applied computing
IEEE CIMSIVP;IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing;CORE2020;C;Computer vision and multimedia computation
IEEE CISDA;IEEE Symposium on Computational Intelligence for Security and Defence Applications;CORE2020;C;Applied computing
IEEE IS;IEEE International Conference on Intelligent Systems;CORE2020;C;Artificial intelligence
IEEE SIS;IEEE Swarm Intelligence Symposium;CORE2020;C;Artificial intelligence
IEEE VAST;IEEE Symposium on Visual Analytics Science and Technology;CORE2020;C;Human-centred computing
IES;Asia Pacific Symposium on Intelligent and Evolutionary Systems;CORE2020;C;Artificial intelligence
IGARSS;IEEE International Geoscience and Remote Sensing Symposium;CORE2020;C;Applied computing
IH&MMSec;Information Hiding and Multimedia Security Workshop;CORE2020;C;Cybersecurity and privacy
IIWAS;Information Integration and Web-based Applications and Services;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
IJCRS (was RSCTC);International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others);CORE2020;C;Artificial intelligence
INISTA;International Symposium on Innovations in Intelligent Systems and Applications;CORE2020;C;Artificial intelligence
INOC;International Network Optimization Conference;CORE2020;C;Distributed computing and systems software
IOLTS;IEEE International On-Line Testing Symposium;CORE2020;C;Software engineering
IPMU;International Conference on Information Processing and Management of Uncertainty;CORE2020;C;Data management and data science
ISADS;International Symposium on Autonomous Decentralized Systems;CORE2020;C;Distributed computing and systems software
ISAGA;Conference for the International Simulation and Gaming Association;CORE2020;C;Graphics, augmented reality and games
ISARC;International Symposium on Automation and Robotics in Construction;CORE2020;C;Artificial intelligence
ISC;Industrial Simulation Conference;CORE2020;C;Artificial intelligence
ISC HPC;ISC High Performance;CORE2020;C;Distributed computing and systems software
ISCIS;International Symposium on Computer and Information Sciences;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
ISCO;International Symposium on Combinatorial Optimisation;CORE2020;C;Theory of computation
ISDA;International Conference on Intelligent Systems Designs and Applications;CORE2020;C;Artificial intelligence
ISGC;International Symposium on Grids and Clouds;CORE2020;C;Distributed computing and systems software
ISI;IEEE International Conference on Intelligence and Security Informatics;CORE2020;C;Cybersecurity and privacy
ISICT;International Symposium on Information and Communication Technologies;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
ISM;IEEE International Symposium on Multimedia;CORE2020;C;Computer vision and multimedia computation
ISMIS;International Symposium on Foundations of Intelligent Systems;CORE2020;C;Artificial intelligence
ISNN;International Symposium on Neural Networks;CORE2020;C;Machine learning
ISORC;IEEE International Symposium on Real-Time Distributed Computing;CORE2020;C;Distributed computing and systems software
ISPDC;International Symposium on Parallel and Distributed Computing;CORE2020;C;Distributed computing and systems software
ISSDQ;International Symposium on Spatial Data Quality;CORE2020;C;Applied computing
ISTAS;International Symposium on Technology and Society;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
ISoLA;International Symposium on Leveraging Applications of Formal Methods, Verification and Validation;CORE2020;C;Software engineering
ITCC;International Conference on Information Technology: Coding and Computing;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
IV-App;Applications of Information Visualization;CORE2020;C;Human-centred computing
IVBI;Information Visualization in Biomedical Informatics;CORE2020;C;Applied computing
IWCIA;International Workshop on Combinatorial Image Analysis: Theory and Applications;CORE2020;C;Computer vision and multimedia computation
IWDW;International Workshop on Digital Watermarking;CORE2020;C;Cybersecurity and privacy
IWSM Mensura;Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement;CORE2020;C;Software engineering
InSITE;Informing Science and Information Technology Education;CORE2020;C;Human-centred computing
InfVis;Information Visualisation Theory and Practice;CORE2020;C;Human-centred computing
JADT;International Conference on the Statistical Analysis of Textual Data;CORE2020;C;Artificial intelligence
JURIX;International Conference on Legal Knowledge and Information Systems;CORE2020;C;Applied computing
KEOD;International Conference on Knowledge Engineering and Ontology Development;CORE2020;C;Data management and data science
KES AMSTA;International KES Symposium on Agents and Multiagent systems - Technologies and Applications;CORE2020;C;Artificial intelligence
KES IDT;KES International Symposium on Intelligent Decision Technologies;CORE2020;C;Artificial intelligence
KES IIMSS;International Symposium on Intelligent and Interactive Multimedia: Systems and Services;CORE2020;C;Computer vision and multimedia computation
KV;Knowledge Visualization and Visual Thinking;CORE2020;C;Human-centred computing
LANMAN;IEEE LAN/MAN Workshop;CORE2020;C;Distributed computing and systems software
LATA;International Conference on Language and Automata Theory and Applications;CORE2020;C;Theory of computation
LREC;Language Resources and Evaluation Conference;CORE2020;C;Artificial intelligence
MABS;International Workshop on MultiAgent Based Simulation;CORE2020;C;Artificial intelligence
MACIS;MACIS: International Conference of Mathematical Aspects of Computer and Information Sciences;CORE2020;C;Theory of computation
MDM;International Conference on Mobile Data Management;CORE2020;C;Data management and data science
MISE;International Workshop on Modelling in Software Engineering;CORE2020;C;Software engineering
MMM;International Conference on Multimedia Modelling;CORE2020;C;Computer vision and multimedia computation
MPLR;International Conference on Managed Programming Languages and Runtimes;CORE2020;C;Software engineering
MTNS;International Symposium on the Mathematical Theory of Networks and Systems;CORE2020;C;Distributed computing and systems software
NLDB;Applications of Natural Language to Data Bases;CORE2020;C;Artificial intelligence
NPC;IFIP International Conference on Network and Parallel Computing;CORE2020;C;Distributed computing and systems software
NSPW;New Security Paradigms Workshop;CORE2020;C;Cybersecurity and privacy
OP;SIAM Conference on Optimization;CORE2020;C;Artificial intelligence
Onward;Onward Software Engineering;CORE2020;C;Software engineering
PAAMS;Practical Applications of Agents and Multiagent Systems;CORE2020;C;Artificial intelligence
PARCO;Parallel Computing;CORE2020;C;Distributed computing and systems software
PCM;Pacific-Rim Conference on Multimedia;CORE2020;C;Computer vision and multimedia computation
PCS;International Picture Coding Symposium;CORE2020;C;Computer vision and multimedia computation
PDP;Euromicro International Conference on Parallel, Distributed and Network Based Processing;CORE2020;C;Distributed computing and systems software
PQCrypto;International Workshop on Post-Quantum Cryptography;CORE2020;C;Cybersecurity and privacy
PRO-VE;IFIP Working Conferences on Virtual Enterprises;CORE2020;C;Distributed computing and systems software
PSD;Privacy in Statistical Databases;CORE2020;C;Cybersecurity and privacy
PST;Annual Conference on Privacy, Security and Trust;CORE2020;C;Cybersecurity and privacy
Pairing;International Conference on Pairing-based Cryptography;CORE2020;C;Cybersecurity and privacy
QUATIC;International Conference on the Quality of Information and Communications Technology;CORE2020;C;Software engineering
RAMiCS;International Conference on Relational and AlgebraicMethods in Computer Science;CORE2020;C;Theory of computation
RSP;IEEE International Symposium on Rapid System Prototyping;CORE2020;C;Software engineering
RV;International Conference on Runtime Verification;CORE2020;C;Software engineering
SACMAT;ACM Symposium on Access Control Models and Technologies;CORE2020;C;Cybersecurity and privacy
SAFEProcess;IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes;CORE2020;C;Cybersecurity and privacy
SCAM;IEEE International Workshop on Source Code Analysis and Manipulation;CORE2020;C;Software engineering
SDH;International Symposium on Spatial Data Handling;CORE2020;C;Applied computing
SERA;ACIS Conference on Software Engineering Research, Management and Applications;CORE2020;C;Software engineering
SEW;IEEE Software Engineering Workshop;CORE2020;C;Software engineering
SIGdial;Annual Meeting of the Special Interest Group on Discourse and Dialog;CORE2020;C;Artificial intelligence
SIN;International Conference on Security of Information and Networks;CORE2020;C;Cybersecurity and privacy
SNPD;International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing;CORE2020;C;Software engineering
SOCA;IEEE International Conference on Service-Oriented Computing and Applications;CORE2020;C;Distributed computing and systems software
SPICE;Software Process Improvement and Capability Determination;CORE2020;C;Software engineering
SQM;International Conference on Software Quality Management;CORE2020;C;Software engineering
SSS;Symposium on Stabilization, Safety, and Security of Distributed Systems;CORE2020;C;Cybersecurity and privacy
SSSC;IFAC Conference on System Structure and Control;CORE2020;C;Software engineering
Tencon;IEEE Tencon (IEEE Region 10 Conference);CORE2020;C;INFORMATION AND COMPUTING SCIENCES
UBICOMM;International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies;CORE2020;C;Distributed computing and systems software
UC;International Conference on Unconventional Computation and Natural Computation;CORE2020;C;Theory of computation
VINCI;Visual Information Communication and Interaction;CORE2020;C;Human-centred computing
VizSec;International Workshop on Visualization for Cyber Security;CORE2020;C;Cybersecurity and privacy
W2GIS;International Workshop on Web and Wireless Geographical Information Systems;CORE2020;C;Applied computing
WAFR;International Workshop on the Algorithmic Foundations of Robotics;CORE2020;C;Artificial intelligence
WAIFI;Workshop on the Arithmetic of Finite Fields;CORE2020;C;Theory of computation
WALCOM;International Conference and Workshops on Algorithms and Computation;CORE2020;C;Theory of computation
WAW;Workshop on Algorithms And Models For The Web Graph;CORE2020;C;Theory of computation
WCO;Workshop on Computational Optimization;CORE2020;C;Theory of computation
WEBIST;International Conference on Web Information Systems and Technologies;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
WFLP;International Workshop on Functional and (Constraint) Logic Programming;CORE2020;C;Software engineering
WISTP;Workshop in Information Security Theory and Practices;CORE2020;C;Cybersecurity and privacy
WorldCIST;World Conference on Information Systems and Technologies;CORE2020;C;INFORMATION AND COMPUTING SCIENCES
iEMSs;Intenational Environmental Modelling and Software Society;CORE2020;C;Applied computing
ACALCI;Australian Conference on Artificial Life and Computational Intelligence;CORE2020;Australasian B;Artificial intelligence
ACCMCC;Australasian Conference on Combinatorial Mathematics and Combinatorial Computing;CORE2020;Australasian C;Theory of computation
ACE;Australasian Computing Education Conference (ACE);CORE2020;Australasian B;Human-centred computing
ACISP;Australasian Conference on Information Security and Privacy;CORE2020;Australasian B;Cybersecurity and privacy
ACRA;Australasian Conference on Robotics and Automation;CORE2020;Australasian C;Artificial intelligence
ACSAC;Annual Computer Security Applications Conference;CORE2020;National: usa;Cybersecurity and privacy
ACSSC;Asilomar Conference on Signals, Systems and Computing;CORE2020;National: USA;Distributed computing and systems software
ADC;Australasian Database Conference;CORE2020;Australasian B;Data management and data science
ADCS;Australasian Document Computing Symposium;CORE2020;Australasian B;Data management and data science
AI;Australasian Joint Conference on Artificial Intelligence;CORE2020;Australasian B;Artificial intelligence
AICE;Australian Institute of Computer Ethics Conference;CORE2020;Australasian C;Human-centred computing
AIMSA;International Conference on Artificial Intelligence: Methodology, Systems, Applications;CORE2020;National: Bulgaria;Artificial intelligence
AISC;Australasian Information Security Conference;CORE2020;Australasian B;Cybersecurity and privacy
ALTA;Australasian Language Techology Workshop;CORE2020;Australasian B;Artificial intelligence
AMIA;American Medical Informatics Annual Fall Symposium;CORE2020;National: USA;Applied computing
APCCM;Asia-Pacific Conference on Conceptual Modelling;CORE2020;Australasian B;Data management and data science
ASOR;National Conference of The Australian Society for Operations Research;CORE2020;Australasian C;Artificial intelligence
ASWEC;Australian Software Engineering Conference;CORE2020;Australasian B;Software engineering
AdCom;International Conference on Advanced Computing and Communications;CORE2020;National: India;Distributed computing and systems software
AusDM;Australian Data Mining Conference;CORE2020;Australasian B;Data management and data science
AusPDC;Australasian Symposium on Parallel and Distributed Computing;CORE2020;Australasian C;Distributed computing and systems software
CATA;International Conference on Computers and their Applications;CORE2020;National: USA;Applied computing
CERIAS;Information Security Symposium;CORE2020;National: USA;Cybersecurity and privacy
CIS;International Conference on Computational Intelligence and Security;CORE2020;National: China;Cybersecurity and privacy
CISIS;Computational Intelligence in Security for Information Systems;CORE2020;National: Spain;Cybersecurity and privacy
CISS;Conference on Information Sciences and Systems;CORE2020;National: USA;Distributed computing and systems software
COCOON;International Conference on Computing and Combinatorics;CORE2020;National:China;Theory of computation
COMAD;International Conference on Management of Data;CORE2020;National: India;Data management and data science
CSICC;International CSI Computer Conference;CORE2020;National: Iran;(missing)
CSR;International Computer Science Symposium in Russia;CORE2020;National: Russia;INFORMATION AND COMPUTING SCIENCES
CogSIMA;IEEE Conference on Cognitive and Computational Aspects of Situation Management;CORE2020;National:USA;Distributed computing and systems software
DEPCoS;International Conference on Dependability of Computer Systems;CORE2020;National: Poland;Distributed computing and systems software
DICTA;Digital Image Computing Techniques and Applications;CORE2020;Australasian B;Computer vision and multimedia computation
EuroPLop;European Conference on Pattern Languages of Programs;CORE2020;National: Germany;Software engineering
FAW;International Frontiers of Algorithmics Workshop;CORE2020;National: China;Theory of computation
FIT;International Conference on Frontiers of Information Technology;CORE2020;National: Pakistan;(missing)
FLOPS;International Symposium on Functional and Logic Programming;CORE2020;National: Japan;Theory of computation
FST&TCS;Foundations of Software Technology and Theoretical Computer Science;CORE2020;National: India;Theory of computation
FUN;Conference on Fun with Algorithms;CORE2020;National: Italy;Theory of computation
GRC;Visualization In Science and Education;CORE2020;National: USA;Human-centred computing
HAIS;International Conference on Hybrid Artificial Intelligence Systems;CORE2020;National: Spain;Artificial intelligence
HCI;British Computer Society Conference on Human-Computer Interaction;CORE2020;National;Human-centred computing
HIC;Health Informatics Conference;CORE2020;Australasian C;Applied computing
HOTI;IEEE Symposium on High-Performance Interconnects;CORE2020;National: USA;Distributed computing and systems software
HOTMOBILE;Workshop on Mobile Computing Systems and Applications;CORE2020;National: USA;Distributed computing and systems software
HOTNETS;ACM Workshop on Hot Topics in Networks;CORE2020;National: USA;Distributed computing and systems software
HPSC;International Conference on High Performance Scientific Computing;CORE2020;National: Vietnam;Distributed computing and systems software
HiPC;International Conference on High Performance Computing;CORE2020;National: India;Distributed computing and systems software
IAS;IEEE Industry Applications Society Annual Conference;CORE2020;National: USA;Applied computing
IC-AI;International Conference on Artificial Intelligence;CORE2020;National: USA;Artificial intelligence
ICAISC;International Conference on Artificial Intelligence and Soft Computing;CORE2020;National: Poland;Artificial intelligence
ICCP;IEEE International Conference on Intelligent Computer Communication and Processing;CORE2020;National: Romania;(missing)
ICDCIT;International Conference on Distributed Computing and Internet Technologies;CORE2020;National: India;Distributed computing and systems software
ICDCN;International Conference on Distributed Computing and Networking;CORE2020;National: India;Distributed computing and systems software
ICDSE;IEEE International Conference on Data Science and Engineering;CORE2020;National:India;Data management and data science
ICIAP;International Conference on Image Analysis and Processing;CORE2020;National: Italy;Computer vision and multimedia computation
ICIG;International Conference on Image and Graphics;CORE2020;National: China;Graphics, augmented reality and games
ICIN;Conference on Innovation in Clouds, Internet and Networks;CORE2020;National: France;Distributed computing and systems software
ICISC;International Conference on Information Security and Cryptology;CORE2020;National: Korea;Cybersecurity and privacy
ICISS;International Conference on Information Systems Security;CORE2020;National: India;Cybersecurity and privacy
ICITA;International Conference on Information Technology and Applications;CORE2020;Australasian C;Applied computing
ICMLC;International Conference on Machine Learning and Cybernetics;CORE2020;National: China;Machine learning
ICNC;International Conference on Natural Computation;CORE2020;National: China;Artificial intelligence
IE;Interactive Entertainment;CORE2020;Australasian C;Graphics, augmented reality and games
IEEE ICIA;IEEE International Conference on Information and Automation;CORE2020;National: China;(missing)
IKE;International Conference on Information and Knowledge Engineering;CORE2020;National: USA;Artificial intelligence
IMVIP;International Machine Vision and Image Processing Conference;CORE2020;National: ireland;Computer vision and multimedia computation
INDOCRYPT;International Conference on Cryptology in India;CORE2020;National: India;Cybersecurity and privacy
IRI;IEEE International Conference on Information Reuse and Integration;CORE2020;National: USA;Data management and data science
ISAIM;International Symposium on Artificial Intelligence and Mathematics;CORE2020;National: USA;Artificial intelligence
ISKE;International Conference on Intelligent Systems and Knowledge Engineering;CORE2020;National: China;Artificial intelligence
ISUVR;International Symposium on Ubiquitous Virtual Reality;CORE2020;National: S. Korea;Graphics, augmented reality and games
ISVC;International Symposium on Visual Computing;CORE2020;National: USA;Graphics, augmented reality and games
ITA;International Conference on Internet Technologies and Applications;CORE2020;National: USA;INFORMATION AND COMPUTING SCIENCES
ITNAC;International Telecommunication Networks and Applications Conference;CORE2020;Australasian C;Distributed computing and systems software
IVCNZ;Image and Vision Computing Conference;CORE2020;Australasian B;Computer vision and multimedia computation
IWANN;International Work-Conference on Artificial and Natural Neural Networks;CORE2020;National: Spain;Machine learning
IWINAC;International Work-conference on the Interplay between Natural and Artificial Computation;CORE2020;National:Spain;Artificial intelligence
IWSEC;International Workshop on Security;CORE2020;National: Japan;Cybersecurity and privacy
Inscrypt;SKLOIS Conference on Information Security and Cryptology;CORE2020;National: China;Cybersecurity and privacy
KDViz;Knowledge Domain Visualisation;CORE2020;National: UK;Human-centred computing
LFCS;Logical Foundations of Computer Science;CORE2020;National: USA;Theory of computation
MODSIM;International Congress on Modelling and Simulation;CORE2020;Australasian C;Artificial intelligence
MOPTA;Modelling and Optimization: Theory and Applications;CORE2020;National: USA;Artificial intelligence
MSST;IEEE Conference on Mass Storage Systems and Technologies;CORE2020;National: USA;Distributed computing and systems software
MVA;Machine Vision Applications;CORE2020;National: japan;Computer vision and multimedia computation
NSDI;Symposium on Networked Systems, Design and Implementation;CORE2020;National: USA;Distributed computing and systems software
NZGDC;New Zealand Game Developers Conference;CORE2020;Australasian C;Graphics, augmented reality and games
OZCHI;Australian Computer Human Interaction Conference;CORE2020;Australasian B;Human-centred computing
PDPTA;International Conference on Parallel and Distributed Processing Techniques and Applications;CORE2020;National: USA;Distributed computing and systems software
PPAM;International Conference on Parallel Processing and Applied Mathematics;CORE2020;National: Poland;Distributed computing and systems software
PSB;Pacific Symposium on Biocomputing;CORE2020;National: USA;Applied computing
PSC;Prague Stringology Conference;CORE2020;National: Poland;Theory of computation
PSI;Ershov Conference;CORE2020;National: Russia;(missing)
RANLP;International Conference on Recent Advances in Natural Language Processing;CORE2020;National: bulgaria;Artificial intelligence
RoVISP;International Conference on Robotics, Vision, Signal Processing and Power Applications;CORE2020;National: Malaysia;Computer vision and multimedia computation
SACI;International Symposium on Applied Computational Intelligence and Informatics;CORE2020;National: Romania;Artificial intelligence
SAMI;International Symposium on Applied Machine Intelligence and Informatics;CORE2020;National: slovakia;Artificial intelligence
SCN;Conference on Security and Cryptography for Networks;CORE2020;National: Italy;Cybersecurity and privacy
SGAI;SGAI International Conference on Artificial Intelligence;CORE2020;National: UK;Artificial intelligence
SIGITE;ACM Information Technology Education;CORE2020;National: USA;Human-centred computing
SIGSPATIAL;ACM International Conference on Advances in Geographic Information Systems;CORE2020;National: USA;Applied computing
SIGUCCS;ACM SIGUCCS Conference on User Services;CORE2020;National: USA;(missing)
SISY;International Symposium on Intelligent Systems and Informatics;CORE2020;National: serbia;Artificial intelligence
SKG;International Conference on Semantics Knowledge and Grid;CORE2020;National: China;Distributed computing and systems software
SOFA;International Workshop on Soft Computing Applications;CORE2020;National: Romania;(missing)
SOFTCOM;Conference on Software in Telecommunications and Computer Networks;CORE2020;National: Croatia;Distributed computing and systems software
SST;Australasian Speech Science and Technology;CORE2020;Australasian C;Artificial intelligence
SYNASC;International Symposium on Symbolic and Numeric Algorithms for Scientific Computing;CORE2020;National: romania;Theory of computation
Semantics;Semantics - International Conference on Semantic Systems;CORE2020;National: Austria;Data management and data science
SiggraphA;SIGGRAPH Asia;CORE2020;journal published;Graphics, augmented reality and games
SimTecT;Simulation Technology and Training Conference;CORE2020;Australasian C;Artificial intelligence
TASE;International Symposium on Theoretical Aspects of Software Engineering;CORE2020;National: China;Software engineering
TRB;International Visualization in Transportation Symposium;CORE2020;National: USA;Human-centred computing
Tapia;Richard Tapia Celebration of Diversity in Computing Conference;CORE2020;National: USA;INFORMATION AND COMPUTING SCIENCES
TridentCom;Testbeds and Research Infrastructures for the Development of Networks and Communities;CORE2020;National: China;Distributed computing and systems software
USEC;Usable Security and Privacy;CORE2020;National: USA;Cybersecurity and privacy
UbiComp;ACM International Joint Conference on Pervasive and Ubiquitous Computing;CORE2020;journal published;Human-centred computing
VDA;Conference on Visualization and Data Analysis;CORE2020;National: USA;Human-centred computing
VLSID;International Conference on VLSI Design;CORE2020;National: India;Distributed computing and systems software
WCAE;Workshop on Computer Architecture Education;CORE2020;National: USA;Human-centred computing
WISA;International Workshop on Information Security Applications;CORE2020;National: korea;Cybersecurity and privacy
WMSCI;World Multi-Conference on Systemics, Cybernetics and Informatics;CORE2020;National: USA;INFORMATION AND COMPUTING SCIENCES
WORLDCOMP;World Congress in Computer Science, Computer Engineering, and Applied Computing;CORE2020;National: USA;INFORMATION AND COMPUTING SCIENCES
WSCG;International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision;CORE2020;National: Czecholslovakia;Graphics, augmented reality and games
WebDB;International Workshop on the Web and Databases;CORE2020;National: USA;Data management and data science
